Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,District Name,Floor Level
JALAN BESAR PLAZA,KITCHENER ROAD,Office,"690,000",301.39,"2,289",Apr-24,Strata,28,"24,643",Freehold,8, Little India,01 to 05
HEXACUBE,CHANGI ROAD,Office,"800,000",452.09,"1,770",Apr-24,Strata,42,"19,048",Freehold,14," Geylang, Eunos",01 to 05
WIS@CHANGI,CHANGI ROAD,Office,"620,000",484.38,"1,280",Apr-24,Strata,45,"13,778",Freehold,14," Geylang, Eunos",01 to 05
THE PLAZA,BEACH ROAD,Office,"800,000",333.68,"2,397",Apr-24,Strata,31,"25,806",99 yrs lease commencing from 1968,7," Middle Road, Golden Mile",B1 to B5
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,000,000",570.49,"1,753",Apr-24,Strata,53,"18,868",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,390,000",635.08,"2,189",Apr-24,Strata,59,"23,559",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",01 to 05
VISION EXCHANGE,VENTURE DRIVE,Office,"880,000",441.32,"1,994",Apr-24,Strata,41,"21,463",99 yrs lease commencing from 2013,22, Jurong,06 to 10
N.A.,ARMENIAN STREET,Office,"2,770,000","1,151.75","2,405",Apr-24,Strata,107,"25,888",99 yrs lease commencing from 2007,6," High Street, Beach Road (part)",01 to 05
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,250,000",538.2,"2,323",Apr-24,Strata,50,"25,000",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10
TAHIR BUILDING,ROBINSON ROAD,Office,"4,523,500","1,140.98","3,965",Apr-24,Strata,106,"42,675",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
THE OCTAGON,CECIL STREET,Office,"3,950,000","1,302.44","3,033",Apr-24,Strata,121,"32,645",Freehold,1," Raffles Place, Cecil, Marina, People's Park",01 to 05
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,369,700","1,280.92","4,192",Apr-24,Strata,119,"45,124",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,780,800","1,377.79","4,196",Apr-24,Strata,128,"45,163",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"7,396,100","1,754.53","4,215",Apr-24,Strata,163,"45,375",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,"1,268,000",548.96,"2,310",Apr-24,Strata,51,"24,863",99 yrs lease commencing from 2011,14," Geylang, Eunos",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"10,281,750","2,529.54","4,065",Apr-24,Strata,235,"43,752",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"8,066,800","1,980.58","4,073",Apr-24,Strata,184,"43,841",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"4,519,100","1,108.69","4,076",Apr-24,Strata,103,"43,875",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"5,187,900","1,270.15","4,084",Apr-24,Strata,118,"43,965",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
SOLITAIRE ON CECIL,CECIL STREET,Office,"4,878,300","1,162.51","4,196",Apr-24,Strata,108,"45,169",Freehold,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
WOODS SQUARE,WOODLANDS SQUARE,Office,"1,211,000",559.73,"2,164",Apr-24,Strata,52,"23,288",99 yrs lease commencing from 2014,25," Kranji, Woodgrove",06 to 10
EVERSHINE AND CENTURY COMPLEX,BEACH ROAD,Office,"4,900,000","2,529.54","1,937",Apr-24,Strata,235,"20,851",999 yrs lease commencing from 1827,7," Middle Road, Golden Mile",-
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"1,468,800",721.19,"2,037",Apr-24,Strata,67,"21,922",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",11 to 15
SBF CENTER,ROBINSON ROAD,Office,"2,338,000",667.37,"3,503",Mar-24,Strata,62,"37,710",99 yrs lease commencing from 2011,1," Raffles Place, Cecil, Marina, People's Park",26 to 30
THE CENTRAL,EU TONG SEN STREET,Office,"2,800,000",925.7,"3,025",Mar-24,Strata,86,"32,558",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",16 to 20
SOHO LIFE,JOO CHIAT ROAD,Office,"768,158",409.03,"1,878",Mar-24,Strata,38,"20,215",Freehold,15," Katong, Joo Chiat, Amber Road",01 to 05
THE CENTRAL,EU TONG SEN STREET,Office,"1,600,000",602.78,"2,654",Mar-24,Strata,56,"28,571",99 yrs lease commencing from 2001,1," Raffles Place, Cecil, Marina, People's Park",06 to 10
CHINATOWN POINT,NEW BRIDGE ROAD,Office,"4,200,000","2,400.37","1,750",Mar-24,Strata,223,"18,834",99 yrs lease commencing from 1980,1," Raffles Place, Cecil, Marina, People's Park",21 to 25
