Project Name,Street Name,Property Type,Transacted Price ($),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Postal District,District Name,Tenure Type,Lease Years,Floor Min,Floor Max,Floor Category,Transaction Year,Transaction Month
CENTRIUM SQUARE,SERANGOON ROAD,Office,1610200,2020-01-01,Strata,57.0,28249,8, Little India,Freehold,,11,15,11-15,2020,1
PEACE CENTRE/MANSIONS,SOPHIA ROAD,Office,916750,2020-01-01,Strata,86.0,10660,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,1,5,01-05,2020,1
WOODS SQUARE,WOODLANDS SQUARE,Office,1053306,2020-01-01,Strata,52.0,20256,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2020,1
WOODS SQUARE,WOODLANDS SQUARE,Office,1344962,2020-01-01,Strata,60.0,22416,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2020,1
THE GOLDEN LANDMARK,VICTORIA STREET,Office,640000,2020-01-01,Strata,47.0,13617,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2020,1
FAR EAST SHOPPING CENTRE,ORCHARD ROAD,Office,860000,2020-01-01,Strata,17.0,50588,9," Orchard, Cairnhill, River Valley",Leasehold,999.0,1,5,01-05,2020,1
THE CENTRAL,EU TONG SEN STREET,Office,1600000,2020-01-01,Strata,59.0,27119,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2020,1
CENTRIUM SQUARE,SERANGOON ROAD,Office,1909000,2020-01-01,Strata,67.0,28493,8, Little India,Freehold,,11,15,11-15,2020,1
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2010000,2020-01-01,Strata,101.0,19901,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2020,1
THE CENTRAL,EU TONG SEN STREET,Office,2200000,2020-01-01,Strata,86.0,25581,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2020,1
CENTRIUM SQUARE,SERANGOON ROAD,Office,1873100,2020-01-01,Strata,67.0,27957,8, Little India,Freehold,,11,15,11-15,2020,1
TEXTILE CENTRE,JALAN SULTAN,Office,830000,2020-01-01,Strata,60.0,13833,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2020,1
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,37100000,2020-01-01,Strata,1336.0,27769,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2020,1
LOFT @ NATHAN,RIVER VALLEY ROAD,Office,930000,2020-01-01,Strata,42.0,22143,10," Ardmore, Bukit Timah, Holland Road, Tanglin",Freehold,,1,5,01-05,2020,1
BURLINGTON SQUARE,BENCOOLEN STREET,Office,920000,2020-01-01,Strata,51.0,18039,7," Middle Road, Golden Mile",Leasehold,99.0,11,15,11-15,2020,1
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,1680000,2020-01-01,Strata,115.0,14609,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",Leasehold,999.0,6,10,06-10,2020,1
CENTRIUM SQUARE,SERANGOON ROAD,Office,1879000,2020-01-01,Strata,66.0,28470,8, Little India,Freehold,,11,15,11-15,2020,1
CENTRIUM SQUARE,SERANGOON ROAD,Office,2517700,2020-01-01,Strata,91.0,27667,8, Little India,Freehold,,11,15,11-15,2020,1
TEXTILE CENTRE,JALAN SULTAN,Office,800000,2020-01-01,Strata,82.0,9756,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2020,1
THE CENTRAL,EU TONG SEN STREET,Office,2250000,2020-01-01,Strata,81.0,27778,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2020,1
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,232727,2020-01-01,Strata,15.0,15515,3," Queenstown, Tiong Bahru",Leasehold,99.0,-1,-5,Basement,2020,1
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Office,645000,2020-01-01,Strata,30.0,21500,19," Serangoon Garden, Hougang, Punggol",Freehold,,1,5,01-05,2020,1
CENTRIUM SQUARE,SERANGOON ROAD,Office,1523900,2019-12-01,Strata,53.0,28753,8, Little India,Freehold,,11,15,11-15,2019,12
CENTRIUM SQUARE,SERANGOON ROAD,Office,2423800,2019-12-01,Strata,91.0,26635,8, Little India,Freehold,,6,10,06-10,2019,12
CENTRIUM SQUARE,SERANGOON ROAD,Office,2447700,2019-12-01,Strata,91.0,26898,8, Little India,Freehold,,11,15,11-15,2019,12
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,3818400,2019-12-01,Strata,165.0,23142,6," High Street, Beach Road (part)",Leasehold,999.0,11,15,11-15,2019,12
THE CENTRAL,EU TONG SEN STREET,Office,1750000,2019-12-01,Strata,59.0,29661,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2019,12
CENTRIUM SQUARE,SERANGOON ROAD,Office,1509400,2019-12-01,Strata,53.0,28479,8, Little India,Freehold,,11,15,11-15,2019,12
THE CENTRAL,EU TONG SEN STREET,Office,1430000,2019-12-01,Strata,59.0,24237,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2019,12
THE CENTRAL,EU TONG SEN STREET,Office,1450000,2019-12-01,Strata,60.0,24167,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2019,12
THE CENTRAL,EU TONG SEN STREET,Office,1780000,2019-12-01,Strata,59.0,30169,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,12
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,7700000,2019-12-01,Strata,217.0,35484,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,36,40,21+,2019,12
BURLINGTON SQUARE,BENCOOLEN STREET,Office,2780000,2019-12-01,Strata,138.0,20145,7," Middle Road, Golden Mile",Leasehold,99.0,11,15,11-15,2019,12
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,2878800,2019-12-01,Strata,138.0,20861,6," High Street, Beach Road (part)",Leasehold,999.0,11,15,11-15,2019,12
SBF CENTER,ROBINSON ROAD,Office,2840160,2019-12-01,Strata,68.0,41767,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2019,12
SBF CENTER,ROBINSON ROAD,Office,2432190,2019-12-01,Strata,70.0,34746,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2019,12
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,3861775,2019-12-01,Strata,127.0,30408,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2019,12
CHINATOWN POINT,NEW BRIDGE ROAD,Office,1740750,2019-12-01,Strata,98.0,17763,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2019,12
CENTRIUM SQUARE,SERANGOON ROAD,Office,1844100,2019-12-01,Strata,66.0,27941,8, Little India,Freehold,,11,15,11-15,2019,12
CENTRIUM SQUARE,SERANGOON ROAD,Office,2470800,2019-12-01,Strata,91.0,27152,8, Little India,Freehold,,11,15,11-15,2019,12
THE CENTRAL,EU TONG SEN STREET,Office,1418000,2019-12-01,Strata,56.0,25321,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,12
,ROBINSON ROAD,Office,52000000,2019-12-01,Land,422.1,123194,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,,,Unknown,2019,12
SHENTON HOUSE,SHENTON WAY,Office,2492328,2019-12-01,Strata,126.0,19780,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2019,12
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,8564250,2019-12-01,Strata,335.0,25565,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,12
SOHO LIFE,JOO CHIAT ROAD,Office,492000,2019-12-01,Strata,32.0,15375,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2019,12
CENTRIUM SQUARE,SERANGOON ROAD,Office,1501853,2019-12-01,Strata,53.0,28337,8, Little India,Freehold,,11,15,11-15,2019,12
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2000000,2019-12-01,Strata,97.0,20619,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2019,12
SOUTHBANK,NORTH BRIDGE ROAD,Office,1100000,2019-12-01,Strata,64.0,17188,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2019,12
EON SHENTON,SHENTON WAY,Office,2398000,2019-12-01,Strata,96.0,24979,2," Anson, Tanjong Pagar",Leasehold,99.0,6,10,06-10,2019,12
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,2200000,2019-12-01,Strata,93.0,23656,6," High Street, Beach Road (part)",Leasehold,999.0,21,25,21+,2019,12
INTERNATIONAL PLAZA,ANSON ROAD,Office,2000000,2019-12-01,Strata,87.0,22989,2," Anson, Tanjong Pagar",Leasehold,99.0,6,10,06-10,2019,12
CENTRIUM SQUARE,SERANGOON ROAD,Office,1560000,2019-12-01,Strata,57.0,27368,8, Little India,Freehold,,11,15,11-15,2019,12
HAVELOCK2,HAVELOCK ROAD,Office,2300000,2019-12-01,Strata,116.0,19828,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2019,12
THE CENTRAL,EU TONG SEN STREET,Office,2519964,2019-12-01,Strata,82.0,30731,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,12
THE CENTRAL,EU TONG SEN STREET,Office,4255036,2019-12-01,Strata,138.0,30834,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,12
CHINATOWN POINT,NEW BRIDGE ROAD,Office,2200000,2019-12-01,Strata,98.0,22449,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2019,12
GB BUILDING,CECIL STREET,Office,9222500,2019-11-01,Strata,504.0,18299,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,11
WOODS SQUARE,WOODLANDS SQUARE,Office,1178518,2019-11-01,Strata,53.0,22236,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2019,11
GRANDLINK SQUARE,GUILLEMARD ROAD,Office,636000,2019-11-01,Strata,29.0,21931,14," Geylang, Eunos",Freehold,,1,5,01-05,2019,11
THE CENTRAL,EU TONG SEN STREET,Office,1570000,2019-11-01,Strata,59.0,26610,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,11
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1113615,2019-11-01,Strata,50.0,22272,14," Geylang, Eunos",Leasehold,99.0,11,15,11-15,2019,11
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1136384,2019-11-01,Strata,51.0,22282,14," Geylang, Eunos",Leasehold,99.0,11,15,11-15,2019,11
ROBINSON SQUARE,ROBINSON ROAD,Office,3780000,2019-11-01,Strata,127.0,29764,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,1,5,01-05,2019,11
PEACE CENTRE/MANSIONS,SOPHIA ROAD,Office,550000,2019-11-01,Strata,41.0,13415,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,1,5,01-05,2019,11
SBF CENTER,ROBINSON ROAD,Office,2500000,2019-11-01,Strata,68.0,36765,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,11
SBF CENTER,ROBINSON ROAD,Office,2500000,2019-11-01,Strata,70.0,35714,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,11
KH KEA BUILDING,NORTH BRIDGE ROAD,Office,79300000,2019-11-01,Land,435.2,182215,7," Middle Road, Golden Mile",Leasehold,999.0,,,Unknown,2019,11
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1847900,2019-11-01,Strata,101.0,18296,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2019,11
CENTROPOD @ CHANGI,CHANGI ROAD,Office,570000,2019-11-01,Strata,22.0,25909,14," Geylang, Eunos",Freehold,,1,5,01-05,2019,11
PRUDENTIAL TOWER,CECIL STREET,Office,5362500,2019-11-01,Strata,151.0,35513,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2019,11
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,880000,2019-11-01,Strata,80.0,11000,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2019,11
THOMSON PLAZA,UPPER THOMSON ROAD,Office,1500000,2019-11-01,Strata,38.0,39474,20," Bishan, Ang Mo Kio",Leasehold,99.0,1,5,01-05,2019,11
THE CENTRAL,EU TONG SEN STREET,Office,2350000,2019-11-01,Strata,81.0,29012,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2019,11
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,4605300,2019-11-01,Strata,199.0,23142,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2019,11
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,4020000,2019-11-01,Strata,165.0,24364,6," High Street, Beach Road (part)",Leasehold,999.0,21,25,21+,2019,11
THE CENTRAL,EU TONG SEN STREET,Office,42678400,2019-11-01,Strata,1239.0,34446,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2019,11
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,5198000,2019-11-01,Strata,210.0,24752,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2019,11
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,5520000,2019-11-01,Strata,223.0,24753,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2019,11
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,3715000,2019-11-01,Strata,150.0,24767,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,6,10,06-10,2019,11
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,7157500,2019-11-01,Strata,266.0,26908,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,11
PEACE CENTRE/MANSIONS,SOPHIA ROAD,Office,1465000,2019-11-01,Strata,147.0,9966,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,1,5,01-05,2019,11
BEAUTY WORLD PLAZA,UPPER BUKIT TIMAH ROAD,Office,720000,2019-11-01,Strata,25.0,28800,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",Leasehold,999.0,1,5,01-05,2019,11
BUKIT TIMAH SHOPPING CENTRE,UPPER BUKIT TIMAH ROAD,Office,2100000,2019-11-01,Strata,161.0,13043,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",Leasehold,999.0,11,15,11-15,2019,11
SBF CENTER,ROBINSON ROAD,Office,2298000,2019-11-01,Strata,63.0,36476,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2019,11
SBF CENTER,ROBINSON ROAD,Office,1880000,2019-11-01,Strata,55.0,34182,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2019,11
PEOPLE'S PARK COMPLEX,PARK ROAD,Office,2000000,2019-11-01,Strata,41.0,48780,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2019,11
THE CENTRAL,EU TONG SEN STREET,Office,2175000,2019-10-01,Strata,86.0,25291,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,10
WOODS SQUARE,WOODLANDS SQUARE,Office,1178950,2019-10-01,Strata,60.0,19649,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2019,10
LUCKY PLAZA,ORCHARD ROAD,Office,1238000,2019-10-01,Strata,17.0,72824,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2019,10
CENTRIUM SQUARE,SERANGOON ROAD,Office,1481300,2019-10-01,Strata,53.0,27949,8, Little India,Freehold,,11,15,11-15,2019,10
VISION EXCHANGE,VENTURE DRIVE,Office,934579,2019-10-01,Strata,41.0,22795,22, Jurong,Leasehold,99.0,6,10,06-10,2019,10
SOHO LIFE,JOO CHIAT ROAD,Office,500000,2019-10-01,Strata,32.0,15625,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2019,10
INTERNATIONAL PLAZA,ANSON ROAD,Office,4290000,2019-10-01,Strata,219.0,19589,2," Anson, Tanjong Pagar",Leasehold,99.0,26,30,21+,2019,10
,ROBINSON ROAD,Office,3794966,2019-10-01,Strata,106.0,35802,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,6,10,06-10,2019,10
CHINATOWN POINT,NEW BRIDGE ROAD,Office,1261682,2019-10-01,Strata,67.0,18831,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2019,10
BRIGHT CENTRE,LORONG L TELOK KURAU,Office,1850000,2019-10-01,Strata,181.0,10221,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2019,10
THE CENTRAL,EU TONG SEN STREET,Office,4200000,2019-10-01,Strata,135.0,31111,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,11,15,11-15,2019,10
TANGLIN SHOPPING CENTRE,TANGLIN ROAD,Office,975000,2019-10-01,Strata,32.0,30469,10," Ardmore, Bukit Timah, Holland Road, Tanglin",Freehold,,6,10,06-10,2019,10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Office,2821500,2019-10-01,Strata,138.0,20446,6," High Street, Beach Road (part)",Leasehold,999.0,11,15,11-15,2019,10
WOODS SQUARE,WOODLANDS SQUARE,Office,1052636,2019-10-01,Strata,52.0,20243,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2019,10
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,992000,2019-10-01,Strata,47.0,21106,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2019,10
CENTRIUM SQUARE,SERANGOON ROAD,Office,1480000,2019-10-01,Strata,53.0,27925,8, Little India,Freehold,,11,15,11-15,2019,10
INTERNATIONAL PLAZA,ANSON ROAD,Office,1853280,2019-10-01,Strata,87.0,21302,2," Anson, Tanjong Pagar",Leasehold,99.0,21,25,21+,2019,10
SAMSUNG HUB,CHURCH STREET,Office,11863500,2019-10-01,Strata,334.0,35519,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,16,20,16-20,2019,10
SULTAN PLAZA,JALAN SULTAN,Retail,285000,2024-10-01,Strata,18.0,15833,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,10
SUITES@ KATONG,TANJONG KATONG ROAD,Retail,1485000,2024-10-01,Strata,46.0,32283,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,10
PENINSULA PLAZA,NORTH BRIDGE ROAD,Retail,1350000,2024-10-01,Strata,37.0,36486,6," High Street, Beach Road (part)",Leasehold,999.0,1,5,01-05,2024,10
WISMA ATRIA,ORCHARD ROAD,Retail,3850000,2024-10-01,Strata,160.0,24063,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,21,25,21+,2024,10
CITY PLAZA,GEYLANG ROAD,Retail,953988,2024-09-01,Strata,23.0,41478,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,9
ONE CLAYMORE,CLAYMORE DRIVE,Retail,9200000,2024-09-01,Strata,246.0,37398,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2024,9
THE CENTREPOINT,ORCHARD ROAD,Retail,5200000,2024-09-01,Strata,122.0,42623,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,1,5,01-05,2024,9
EAST VILLAGE,UPPER CHANGI ROAD,Retail,630000,2024-09-01,Strata,19.0,33158,16," Bedok, Upper East Coast, Eastwood, Kew Drive",Freehold,,1,5,01-05,2024,9
TEXTILE CENTRE,JALAN SULTAN,Retail,1600000,2024-09-01,Strata,86.0,18605,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,9
THE ARCADE,COLLYER QUAY,Retail,2800000,2024-09-01,Strata,47.0,59574,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2024,9
PEOPLE'S PARK COMPLEX,PARK ROAD,Retail,1280000,2024-09-01,Strata,22.0,58182,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,1,5,01-05,2024,9
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,1083333,2024-09-01,Strata,26.0,41667,7," Middle Road, Golden Mile",Leasehold,999.0,1,5,01-05,2024,9
PARKWAY CENTRE,MARINE PARADE CENTRAL,Retail,4500000,2024-09-01,Strata,101.0,44554,15," Katong, Joo Chiat, Amber Road",Leasehold,99.0,1,5,01-05,2024,9
THE MIDTOWN,UPPER SERANGOON ROAD,Retail,1800000,2024-09-01,Strata,70.0,25714,19," Serangoon Garden, Hougang, Punggol",Leasehold,99.0,1,5,01-05,2024,9
THE PROMENADE@PELIKAT,JALAN PELIKAT,Retail,490000,2024-09-01,Strata,22.0,22273,19," Serangoon Garden, Hougang, Punggol",Freehold,,1,5,01-05,2024,9
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,916667,2024-09-01,Strata,22.0,41667,7," Middle Road, Golden Mile",Leasehold,999.0,1,5,01-05,2024,9
ORCHARD TOWERS,ORCHARD ROAD,Retail,989000,2024-09-01,Strata,24.0,41208,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2024,9
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,970000,2024-08-01,Strata,36.0,26944,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,8
THE 101,BEACH ROAD,Retail,8707260,2024-08-01,Strata,143.0,60890,7," Middle Road, Golden Mile",Leasehold,999.0,1,5,01-05,2024,8
FAR EAST PLAZA,SCOTTS ROAD,Retail,2800000,2024-08-01,Strata,37.0,75676,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2024,8
FAR EAST PLAZA,SCOTTS ROAD,Retail,2100000,2024-08-01,Strata,42.0,50000,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2024,8
ALEXIS,ALEXANDRA ROAD,Retail,7000000,2024-08-01,Strata,201.0,34826,3," Queenstown, Tiong Bahru",Freehold,,1,5,01-05,2024,8
THE CENTREPOINT,ORCHARD ROAD,Retail,1550000,2024-08-01,Strata,48.0,32292,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,1,5,01-05,2024,8
HOLLAND ROAD SHOPPING CENTRE,HOLLAND AVENUE,Retail,2900000,2024-08-01,Strata,57.0,50877,10," Ardmore, Bukit Timah, Holland Road, Tanglin",Freehold,,1,5,01-05,2024,8
SOUTHBANK,NORTH BRIDGE ROAD,Retail,550000,2024-08-01,Strata,17.0,32353,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,8
THE COMMERZE@IRVING,IRVING PLACE,Retail,535000,2024-08-01,Strata,40.0,13375,13," Macpherson, Braddell",Leasehold,60.0,1,5,01-05,2024,8
COCO PALMS,PASIR RIS GROVE,Retail,1250000,2024-08-01,Strata,56.0,22321,18," Tampines, Pasir Ris",Leasehold,99.0,1,5,01-05,2024,8
TONG BUILDING,ORCHARD ROAD,Retail,13965840,2024-08-01,Strata,318.0,43918,9," Orchard, Cairnhill, River Valley",Freehold,,16,20,16-20,2024,8
VIBES @ KOVAN,KOVAN ROAD,Retail,620000,2024-08-01,Strata,29.0,21379,19," Serangoon Garden, Hougang, Punggol",Freehold,,1,5,01-05,2024,8
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,1750000,2024-08-01,Strata,38.0,46053,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,8
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Retail,840000,2024-08-01,Strata,21.0,40000,15," Katong, Joo Chiat, Amber Road",Freehold,,-1,-5,Basement,2024,8
VIVA VISTA,SOUTH BUONA VISTA ROAD,Retail,340000,2024-08-01,Strata,14.0,24286,5," Pasir Panjang, Hong Leong Garden, Clementi New Town",Freehold,,-1,-5,Basement,2024,8
KAP,KING ALBERT PARK,Retail,1630000,2024-07-01,Strata,37.0,44054,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",Freehold,,1,5,01-05,2024,7
KAP,KING ALBERT PARK,Retail,1550000,2024-07-01,Strata,35.0,44286,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",Freehold,,1,5,01-05,2024,7
BUGIS CUBE,NORTH BRIDGE ROAD,Retail,1200000,2024-07-01,Strata,33.0,36364,7," Middle Road, Golden Mile",Leasehold,999.0,1,5,01-05,2024,7
SUITES AT BUKIT TIMAH,JALAN JURONG KECHIL,Retail,380000,2024-07-01,Strata,10.0,38000,21," Upper Bukit Timah, Clementi Park, Ulu Pandan",Freehold,,1,5,01-05,2024,7
SIM LIM TOWER,JALAN BESAR,Retail,832000,2024-07-01,Strata,26.0,32000,8, Little India,Freehold,,1,5,01-05,2024,7
GRANDLINK SQUARE,GUILLEMARD ROAD,Retail,1240000,2024-07-01,Strata,28.0,44286,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,7
SIM LIM SQUARE,ROCHOR CANAL ROAD,Retail,1000000,2024-07-01,Strata,38.0,26316,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,7
ORCHARD TOWERS,ORCHARD ROAD,Retail,1150000,2024-07-01,Strata,24.0,47917,9," Orchard, Cairnhill, River Valley",Freehold,,-1,-5,Basement,2024,7
ICON@CHANGI,CHANGI ROAD,Retail,340000,2024-07-01,Strata,15.0,22667,14," Geylang, Eunos",Freehold,,-1,-5,Basement,2024,7
CORONATION SHOPPING PLAZA,BUKIT TIMAH ROAD,Retail,1170000,2024-07-01,Strata,24.0,48750,10," Ardmore, Bukit Timah, Holland Road, Tanglin",Freehold,,1,5,01-05,2024,7
SIM LIM TOWER,JALAN BESAR,Retail,745000,2024-07-01,Strata,26.0,28654,8, Little India,Freehold,,1,5,01-05,2024,7
EON SHENTON,SHENTON WAY,Retail,2520000,2024-07-01,Strata,96.0,26250,2," Anson, Tanjong Pagar",Leasehold,99.0,16,20,16-20,2024,7
CITY PLAZA,GEYLANG ROAD,Retail,4800000,2024-07-01,Strata,110.0,43636,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,7
VISIONCREST,PENANG ROAD,Retail,2129300,2024-07-01,Strata,39.0,54597,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2024,7
VISIONCREST,PENANG ROAD,Retail,1744000,2024-07-01,Strata,32.0,54500,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2024,7
VISIONCREST,PENANG ROAD,Retail,1740500,2024-07-01,Strata,32.0,54391,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2024,7
VISIONCREST,PENANG ROAD,Retail,1435000,2024-07-01,Strata,26.0,55192,9," Orchard, Cairnhill, River Valley",Freehold,,1,5,01-05,2024,7
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Retail,580000,2024-07-01,Strata,23.0,25217,19," Serangoon Garden, Hougang, Punggol",Freehold,,1,5,01-05,2024,7
PENINSULA PLAZA,NORTH BRIDGE ROAD,Retail,1100000,2024-07-01,Strata,37.0,29730,6," High Street, Beach Road (part)",Leasehold,999.0,1,5,01-05,2024,7
GOLDEN MILE TOWER,BEACH ROAD,Retail,335000,2024-07-01,Strata,19.0,17632,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,7
