Project Name,Street Name,Property Type,Transacted Price ($),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Postal District,District Name,Tenure Type,Lease Years,Floor Min,Floor Max,Floor Category,Transaction Year,Transaction Month
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,16249199,2024-07-01,Strata,444.0,36597,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2024,7
CENTROPOD @ CHANGI,CHANGI ROAD,Office,760000,2024-07-01,Strata,44.0,17273,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,7
KATONG SHOPPING CENTRE,MOUNTBATTEN ROAD,Office,900000,2024-07-01,Strata,41.0,21951,15," Katong, Joo Chiat, Amber Road",Freehold,,1,5,01-05,2024,7
THE PLAZA,BEACH ROAD,Office,1180000,2024-07-01,Strata,81.0,14568,7," Middle Road, Golden Mile",Leasehold,99.0,11,15,11-15,2024,7
,RAFFLES QUAY,Office,36000000,2024-07-01,Strata,941.0,38257,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,16,20,16-20,2024,7
SBF CENTER,ROBINSON ROAD,Office,2640000,2024-07-01,Strata,70.0,37714,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2024,7
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,688000,2024-06-01,Strata,42.0,16381,3," Queenstown, Tiong Bahru",Leasehold,99.0,1,5,01-05,2024,6
THE BENCOOLEN,BENCOOLEN STREET,Office,1080000,2024-06-01,Strata,70.0,15429,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,6
INTERNATIONAL PLAZA,ANSON ROAD,Office,1613999,2024-06-01,Strata,87.0,18552,2," Anson, Tanjong Pagar",Leasehold,99.0,11,15,11-15,2024,6
THE ARIZON,GEYLANG ROAD,Office,1100917,2024-06-01,Strata,107.0,10289,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,6
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,990000,2024-06-01,Strata,65.0,15231,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,6
GIFFARD MANSIONS,BALESTIER ROAD,Office,635000,2024-06-01,Strata,33.0,19242,12," Balestier, Toa Payoh, Serangoon",Freehold,,1,5,01-05,2024,6
OXLEY TOWER,ROBINSON ROAD,Office,3700000,2024-06-01,Strata,112.0,33036,1," Raffles Place, Cecil, Marina, People's Park",Freehold,,21,25,21+,2024,6
,HARBOUR DRIVE,Office,160000000,2024-06-01,Land,12898.2,12405,5," Pasir Panjang, Hong Leong Garden, Clementi New Town",Leasehold,95.0,,,Unknown,2024,6
EAST VILLAGE,UPPER CHANGI ROAD,Office,530000,2024-06-01,Strata,14.0,37857,16," Bedok, Upper East Coast, Eastwood, Kew Drive",Freehold,,1,5,01-05,2024,6
INTERNATIONAL PLAZA,ANSON ROAD,Office,1000000,2024-06-01,Strata,44.0,22727,2," Anson, Tanjong Pagar",Leasehold,99.0,21,25,21+,2024,6
SUNTEC TOWER ONE,TEMASEK BOULEVARD,Office,11500000,2024-06-01,Strata,286.0,40210,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,36,40,21+,2024,6
TONG ENG BUILDING,CECIL STREET,Office,1250000,2024-06-01,Strata,43.0,29070,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,999.0,11,15,11-15,2024,6
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1950000,2024-06-01,Strata,81.0,24074,14," Geylang, Eunos",Leasehold,99.0,11,15,11-15,2024,6
PS100,PECK SEAH STREET,Office,1290000,2024-06-01,Strata,44.0,29318,2," Anson, Tanjong Pagar",Leasehold,99.0,6,10,06-10,2024,6
CONCORDE SHOPPING CENTRE,OUTRAM ROAD,Office,340000,2024-06-01,Strata,21.0,16190,3," Queenstown, Tiong Bahru",Leasehold,99.0,-1,-5,Basement,2024,6
INTERNATIONAL PLAZA,ANSON ROAD,Office,4361000,2024-06-01,Strata,219.0,19913,2," Anson, Tanjong Pagar",Leasehold,99.0,31,35,21+,2024,6
FORTUNE CENTRE,MIDDLE ROAD,Office,1752000,2024-06-01,Strata,106.0,16528,7," Middle Road, Golden Mile",Leasehold,99.0,16,20,16-20,2024,6
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,16000000,2024-06-01,Strata,449.0,35635,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,36,40,21+,2024,6
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,920460,2024-06-01,Strata,62.0,14846,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,6
SOUTHBANK,NORTH BRIDGE ROAD,Office,868000,2024-06-01,Strata,43.0,20186,7," Middle Road, Golden Mile",Leasehold,99.0,1,5,01-05,2024,6
EON SHENTON,SHENTON WAY,Office,4090000,2024-06-01,Strata,158.0,25886,2," Anson, Tanjong Pagar",Leasehold,99.0,11,15,11-15,2024,6
CENTRIUM SQUARE,SERANGOON ROAD,Office,3280000,2024-06-01,Strata,94.0,34894,8, Little India,Freehold,,11,15,11-15,2024,6
WOODS SQUARE,WOODLANDS SQUARE,Office,1180191,2024-06-01,Strata,51.0,23141,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2024,6
SUNTEC TOWER THREE,TEMASEK BOULEVARD,Office,15292800,2024-06-01,Strata,444.0,34443,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,21,25,21+,2024,6
SUNSHINE PLAZA,BENCOOLEN STREET,Office,980000,2024-06-01,Strata,50.0,19600,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,6
INTERNATIONAL PLAZA,ANSON ROAD,Office,3825000,2024-06-01,Strata,206.0,18568,2," Anson, Tanjong Pagar",Leasehold,99.0,31,35,21+,2024,6
PLUS,CECIL STREET,Office,4152900,2024-06-01,Strata,118.0,35194,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2024,6
PLUS,CECIL STREET,Office,4434120,2024-06-01,Strata,126.0,35191,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2024,6
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2155500,2024-05-01,Strata,89.0,24219,14," Geylang, Eunos",Leasehold,99.0,11,15,11-15,2024,5
MAPLETREE ANSON,ANSON ROAD,Office,775000000,2024-05-01,Land,3691.3,209953,2," Anson, Tanjong Pagar",Leasehold,99.0,,,Unknown,2024,5
,TELOK BLANGAH ROAD,Office,750000,2024-05-01,Strata,34.0,22059,4," Telok Blangah, Harbourfront",Freehold,,1,5,01-05,2024,5
111 SOMERSET,SOMERSET ROAD,Office,2200000,2024-05-01,Strata,74.0,29730,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,6,10,06-10,2024,5
111 SOMERSET,SOMERSET ROAD,Office,3300000,2024-05-01,Strata,105.0,31429,9," Orchard, Cairnhill, River Valley",Leasehold,99.0,6,10,06-10,2024,5
WOODS SQUARE,WOODLANDS SQUARE,Office,2700000,2024-05-01,Strata,91.0,29670,25," Kranji, Woodgrove",Leasehold,99.0,1,5,01-05,2024,5
LE SHANTIER,BALESTIER ROAD,Office,1350000,2024-05-01,Strata,94.0,14362,12," Balestier, Toa Payoh, Serangoon",Freehold,,1,5,01-05,2024,5
WOODS SQUARE,WOODLANDS SQUARE,Office,1190000,2024-05-01,Strata,52.0,22885,25," Kranji, Woodgrove",Leasehold,99.0,6,10,06-10,2024,5
THE CENTRAL,EU TONG SEN STREET,Office,4918014,2024-05-01,Strata,135.0,36430,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2024,5
THE CENTRAL,EU TONG SEN STREET,Office,4081985,2024-05-01,Strata,112.0,36446,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,16,20,16-20,2024,5
SUNTEC TOWER TWO,TEMASEK BOULEVARD,Office,5300000,2024-05-01,Strata,129.0,41085,1," Raffles Place, Cecil, Marina, People's Park",Leasehold,99.0,36,40,21+,2024,5
PARKLANE SHOPPING MALL,SELEGIE ROAD,Office,900000,2024-05-01,Strata,71.0,12676,7," Middle Road, Golden Mile",Leasehold,99.0,6,10,06-10,2024,5
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1695000,2024-05-01,Strata,67.0,25299,14," Geylang, Eunos",Leasehold,99.0,11,15,11-15,2024,5
CONNEXION,FARRER PARK STATION ROAD,Office,11625000,2024-05-01,Strata,216.0,53819,8, Little India,Leasehold,99.0,6,10,06-10,2024,5
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,1215000,2024-05-01,Strata,50.0,24300,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2024,5
TEAMBUILD CENTRE,GEYLANG ROAD,Office,700000,2024-05-01,Strata,96.0,7292,14," Geylang, Eunos",Leasehold,99.0,1,5,01-05,2024,5
ICON@CHANGI,CHANGI ROAD,Office,740000,2024-05-01,Strata,40.0,18500,14," Geylang, Eunos",Freehold,,1,5,01-05,2024,5
UPPER SERANGOON SHOPPING CENTRE,UPPER SERANGOON ROAD,Office,550000,2024-05-01,Strata,19.0,28947,19," Serangoon Garden, Hougang, Punggol",Freehold,,1,5,01-05,2024,5
WILMER PLACE,ARMENIAN STREET,Office,26500000,2024-05-01,Land,710.7,37287,6," High Street, Beach Road (part)",Leasehold,99.0,,,Unknown,2024,5
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2797706,2024-05-01,Strata,126.0,22204,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2024,5
PAYA LEBAR SQUARE,PAYA LEBAR ROAD,Office,2731093,2024-05-01,Strata,123.0,22204,14," Geylang, Eunos",Leasehold,99.0,6,10,06-10,2024,5
